timestamp,filename,out_path,vertices,angle_deg,curvature_level,orientation_deg,smooth_strength,img_size,stroke,margin
2026-01-12T16:21:47,stim_nv3_ang45_s0.0_rot+180.png,MainExp/images/stim_nv3_ang45_s0.0_rot+180.png,3,45,45,0,180,0.0,512,9,40
2026-01-12T16:21:47,stim_nv3_ang45_s0.0_rot-045.png,MainExp/images/stim_nv3_ang45_s0.0_rot-045.png,3,45,45,0,-45,0.0,512,9,40
2026-01-12T16:21:47,stim_nv3_ang45_s0.0_rot-090.png,MainExp/images/stim_nv3_ang45_s0.0_rot-090.png,3,45,45,0,-90,0.0,512,9,40
2026-01-12T16:21:47,stim_nv3_ang45_s0.0_rot-135.png,MainExp/images/stim_nv3_ang45_s0.0_rot-135.png,3,45,45,0,-135,0.0,512,9,40
2026-01-12T16:21:47,stim_nv3_ang45_s0.8_rot+000.png,MainExp/images/stim_nv3_ang45_s0.8_rot+000.png,3,45,45,1,0,0.8,512,9,40
2026-01-12T16:21:48,stim_nv3_ang45_s0.8_rot+045.png,MainExp/images/stim_nv3_ang45_s0.8_rot+045.png,3,45,45,1,45,0.8,512,9,40
2026-01-12T16:21:48,stim_nv3_ang45_s0.8_rot+090.png,MainExp/images/stim_nv3_ang45_s0.8_rot+090.png,3,45,45,1,90,0.8,512,9,40
2026-01-12T16:21:48,stim_nv3_ang45_s0.8_rot+135.png,MainExp/images/stim_nv3_ang45_s0.8_rot+135.png,3,45,45,1,135,0.8,512,9,40
2026-01-12T16:21:48,stim_nv3_ang45_s0.8_rot+180.png,MainExp/images/stim_nv3_ang45_s0.8_rot+180.png,3,45,45,1,180,0.8,512,9,40
2026-01-12T16:21:49,stim_nv3_ang45_s0.8_rot-045.png,MainExp/images/stim_nv3_ang45_s0.8_rot-045.png,3,45,45,1,-45,0.8,512,9,40
2026-01-12T16:21:49,stim_nv3_ang45_s0.8_rot-090.png,MainExp/images/stim_nv3_ang45_s0.8_rot-090.png,3,45,45,1,-90,0.8,512,9,40
